Information security manual,
Guidelines for cybersecurity roles,Board of directors and executive committee,"Embedding cybersecurity",ism-1997,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee defines clear roles and responsibilities for cybersecurity both within the board of directors or executive committee and broadly within their organisation."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Embedding cybersecurity",ism-1998,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee ensures that cybersecurity is integrated throughout all business functions within their organisation."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Embedding cybersecurity",ism-1999,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee ensures the cybersecurity strategy for their organisation is aligned with the overarching strategic direction and business strategy for their organisation."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Embedding cybersecurity",ism-2000,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee seeks regular briefings or reporting on the cybersecurity posture of their organisation, as well as the threat environment in which they operate, from internal and external subject matter experts."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Championing a positive cybersecurity culture",ism-2001,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee champions a positive cybersecurity culture within their organisation, including through leading by example."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Building cybersecurity expertise",ism-2002,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee maintains a sufficient level of cybersecurity literacy to fulfil both their fiduciary duties and any legislative or regulatory obligations."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Building cybersecurity expertise",ism-2003,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee maintains awareness of key cybersecurity recruitment activities, retention rates for cybersecurity personnel, and cybersecurity skills and experience gaps within their organisation."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Building cybersecurity expertise",ism-2004,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee supports the development of cybersecurity skills and experience for all personnel via internal and external cybersecurity awareness raising and training opportunities."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Identifying critical business assets",ism-2005,1,Jun-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee understands the business criticality of their organisation’s systems, including at least a basic understanding of what exists, their value, where they reside, who has access, who might seek access, how they are protected, and how that protection is verified."
Guidelines for cybersecurity roles,Board of directors and executive committee,"Planning for major cybersecurity incidents",ism-2006,0,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The board of directors or executive committee plans for major cybersecurity incidents, including by participating in exercises, and understand their duties in relation to such cybersecurity incidents."
Guidelines for cybersecurity roles,Chief information security officer,"Providing cybersecurity leadership and guidance",ism-0714,7,Mar-25,yes,yes,yes,yes,yes,no,no,no,"A CISO is appointed to provide cybersecurity leadership and guidance for their organisation (covering information technology and operational technology)."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing the cybersecurity program",ism-1478,2,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees their organisation’s cybersecurity program and ensures their organisation’s compliance with cybersecurity policy, standards, regulations and legislation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing the cybersecurity program",ism-1617,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO regularly reviews and updates their organisation’s cybersecurity program to ensure its relevance in addressing cyberthreats and harnessing business and cybersecurity opportunities."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing the cybersecurity program",ism-1966,0,Dec-24,yes,yes,yes,yes,yes,no,no,no,"The CISO develops, implements, maintains and verifies on a regular basis a register of systems used by their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing the cybersecurity program",ism-0724,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO implements cybersecurity measurement metrics and key performance indicators for their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Coordinating cybersecurity",ism-0725,4,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO coordinates cybersecurity and business alignment through a cybersecurity steering committee or advisory board, comprising of key cybersecurity and business executives, which meets formally and on a regular basis."
Guidelines for cybersecurity roles,Chief information security officer,"Coordinating cybersecurity",ism-0726,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO coordinates security risk management activities between cybersecurity and business teams."
Guidelines for cybersecurity roles,Chief information security officer,"Reporting on cybersecurity",ism-0718,5,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO regularly reports directly to their organisation’s board of directors or executive committee on cybersecurity matters."
Guidelines for cybersecurity roles,Chief information security officer,"Reporting on cybersecurity",ism-1918,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO regularly reports directly to their organisation’s audit, risk and compliance committee (or equivalent) on cybersecurity matters."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing cybersecurity incident response activities",ism-0733,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO is fully aware of all cybersecurity incidents within their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing cybersecurity incident response activities",ism-1618,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees their organisation’s response to cybersecurity incidents."
Guidelines for cybersecurity roles,Chief information security officer,"Contributing to business continuity and disaster recovery planning",ism-0734,4,Sep-23,yes,yes,yes,yes,yes,no,no,no,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster."
Guidelines for cybersecurity roles,Chief information security officer,"Communicating a cybersecurity vision and strategy",ism-0720,4,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees the development, implementation and maintenance of a cybersecurity communications strategy to assist in communicating the cybersecurity vision and strategy for their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Working with suppliers",ism-0731,2,Oct-20,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees cyber supply chain risk management activities for their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Receiving and managing a dedicated cybersecurity budget",ism-0732,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO receives and manages a dedicated cybersecurity budget for their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing cybersecurity personnel",ism-0717,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees the management of cybersecurity personnel within their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing cybersecurity personnel",ism-2020,0,Jun-25,yes,yes,yes,yes,yes,no,no,no,"The CISO ensures sufficient cybersecurity personnel, with the right skills and experience, are acquired to support cybersecurity activities within their organisation."
Guidelines for cybersecurity roles,Chief information security officer,"Overseeing cybersecurity awareness training",ism-0735,4,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The CISO oversees the development, implementation and maintenance of their organisation’s cybersecurity awareness training program."
Guidelines for cybersecurity roles,System owners,"System ownership and oversight",ism-1071,1,Sep-18,yes,yes,yes,yes,yes,no,no,no,"Each system has a designated system owner."
Guidelines for cybersecurity roles,System owners,"System ownership and oversight",ism-1525,1,Jan-21,yes,yes,yes,yes,yes,no,no,no,"System owners register each system with its authorising officer."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1633,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"System owners, in consultation with each system’s authorising officer, determine the system boundary, business criticality and security objectives for each system based on an assessment of the impact if it were to be compromised."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1203,1,Jun-25,yes,yes,yes,yes,yes,no,no,no,"System owners, in consultation with each system’s authorising officer, conduct a threat and risk assessment for each system."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1634,2,Mar-25,yes,yes,yes,yes,yes,no,no,no,"System owners, in consultation with each system’s authorising officer, select controls for each system and tailor them to achieve desired security objectives."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-0009,4,Jun-25,yes,yes,yes,yes,yes,no,no,no,"System owners, in consultation with each system’s authorising officer, identify any supplementary controls required based upon the unique nature of each system, its operating environment and the organisation’s risk tolerances."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1635,2,Jun-22,yes,yes,yes,yes,yes,no,no,no,"System owners implement controls for each system and its operating environment."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1636,3,Mar-25,yes,yes,yes,yes,no,no,no,no,"System owners, in consultation with each system’s authorising officer, ensure controls for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system and its operating environment undergo a security assessment by their organisation’s own assessors or Infosec Registered Assessor Program (IRAP) assessors to determine if they have been implemented correctly and are operating as intended."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1967,1,Mar-25,no,no,no,no,yes,no,no,no,"System owners, in consultation with each system’s authorising officer, ensure controls for each TOP SECRET system and its operating environment, including each sensitive compartmented information system and its operating environment, undergo a security assessment by ASD assessors (or their delegates) to determine if they have been implemented correctly and are operating as intended."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-0027,5,Dec-24,yes,yes,yes,yes,no,no,no,no,"System owners obtain authorisation to operate each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system from its authorising officer based on the acceptance of the security risks associated with its operation."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1968,0,Dec-24,no,no,no,no,yes,no,no,no,"System owners obtain authorisation to operate each TOP SECRET system, including each sensitive compartmented information system, from Director-General ASD (or their delegate) based on the acceptance of the security risks associated with its operation."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-1526,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"System owners monitor each system, and associated cyberthreats, security risks and controls, on an ongoing basis."
Guidelines for cybersecurity roles,System owners,"Protecting systems and their resources",ism-2021,0,Jun-25,yes,yes,yes,yes,yes,no,no,no,"System owners implement and maintain data minimisation practices for each of their systems."
Guidelines for cybersecurity roles,System owners,"Annual reporting of system security status",ism-1587,0,Aug-20,yes,yes,yes,yes,yes,no,no,no,"System owners report the security status of each system to its authorising officer at least annually."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Cybersecurity incident management policy",ism-0576,11,Mar-25,yes,yes,yes,yes,yes,no,no,no,"A cybersecurity incident management policy, and associated cybersecurity incident response plan, is developed, implemented and maintained."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Cybersecurity incident management policy",ism-1784,2,Mar-25,yes,yes,yes,yes,yes,no,no,no,"The cybersecurity incident management policy, including the associated cybersecurity incident response plan, is exercised at least annually."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Cybersecurity incident register",ism-0125,7,Mar-25,yes,yes,yes,yes,yes,no,no,no,"A cybersecurity incident register is developed, implemented and maintained."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Cybersecurity incident register",ism-1803,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"A cybersecurity incident register contains the following for each cybersecurity incident:

- the date the cybersecurity incident occurred
- the date the cybersecurity incident was discovered
- a description of the cybersecurity incident
- any actions taken in response to the cybersecurity incident
- to whom the cybersecurity incident was reported."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Insider threat mitigation program",ism-1625,2,Jun-24,yes,yes,yes,yes,yes,no,no,no,"An insider threat mitigation program is developed, implemented and maintained."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Insider threat mitigation program",ism-1626,1,Jun-24,yes,yes,yes,yes,yes,no,no,no,"Legal advice is sought regarding the development and implementation of an insider threat mitigation program."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Access to sufficient data sources and tools",ism-0120,6,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Cybersecurity personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Reporting cybersecurity incidents",ism-0123,5,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Cybersecurity incidents are reported to the chief information security officer, or one of their delegates, as soon as possible after they occur or are discovered."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Reporting cybersecurity incidents to ASD",ism-0140,9,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Cybersecurity incidents are reported to ASD as soon as possible after they occur or are discovered."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Reporting cybersecurity incidents to customers and the public",ism-1880,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Cybersecurity incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered."
Guidelines for cybersecurity incidents,Managing cybersecurity incidents,"Reporting cybersecurity incidents to customers and the public",ism-1881,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Cybersecurity incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Enacting cybersecurity incident response plans",ism-1819,3,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Following the identification of a cybersecurity incident, the cybersecurity incident response plan is enacted."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing data spills",ism-0133,2,Jun-21,yes,yes,yes,yes,yes,no,no,no,"When a data spill occurs, data owners are advised and access to the data is restricted."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing malicious code infections",ism-0917,8,Jun-25,yes,yes,yes,yes,yes,no,no,no,"When malicious code is detected, the following steps are taken to handle the infection:

- the infected systems are isolated
- all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
- antivirus applications are used to remove the infection from infected systems and media
- if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing malicious code infections",ism-1969,0,Dec-24,yes,yes,yes,yes,yes,no,no,no,"Malicious code, when stored or communicated, is treated beforehand to prevent accidental execution."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing malicious code infections",ism-1970,1,Mar-25,yes,yes,yes,yes,yes,no,no,no,"Malicious code processed for cybersecurity incident response or research purposes is done so in a dedicated analysis environment that is segregated from other systems."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing intrusions",ism-0137,4,Dec-21,yes,yes,yes,yes,yes,no,no,no,"Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence."
Guidelines for cybersecurity incidents,Responding to cybersecurity incidents,"Handling and containing intrusions",ism-1609,2,Dec-21,yes,yes,yes,yes,yes,no,no,no,"System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence."
